x1, x2
-5.161934265013539136e-01,2.314309501840686456e-01
-3.344533229397782526e-01,1.959182205973735436e-01
-1.641721037136092409e-01,1.776986045652046153e-01
0.000000000000000000e+00,1.720792096741632082e-01
1.641721037136092409e-01,1.776986045652046153e-01
3.344533229397782526e-01,1.959182205973735436e-01
5.161934265013539136e-01,2.314309501840686456e-01
-5.490513038526391165e-01,0.000000000000000000e+00
-3.523015256659762229e-01,0.000000000000000000e+00
-1.720792096741632082e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.720792096741632082e-01,0.000000000000000000e+00
3.523015256659762229e-01,0.000000000000000000e+00
5.490513038526391165e-01,0.000000000000000000e+00
-5.161934265013539136e-01,-2.314309501840686456e-01
-3.344533229397782526e-01,-1.959182205973735436e-01
-1.641721037136092409e-01,-1.776986045652046153e-01
0.000000000000000000e+00,-1.720792096741632082e-01
1.641721037136092409e-01,-1.776986045652046153e-01
3.344533229397782526e-01,-1.959182205973735436e-01
5.161934265013539136e-01,-2.314309501840686456e-01
-1.429993294450612462e-01,7.329903809028484041e-01
0.000000000000000000e+00,7.692307692307691624e-01
1.429993294450612462e-01,7.329903809028484041e-01
-2.943718710500690672e-01,7.106765634702204570e-01
-1.722898166469163661e-01,5.882342286546756727e-01
0.000000000000000000e+00,5.490513038526391165e-01
1.722898166469163661e-01,5.882342286546756727e-01
2.943718710500690672e-01,7.106765634702204570e-01
-5.439282932204211329e-01,5.439282932204210219e-01
-4.159444120077593343e-01,4.502149873124046131e-01
-2.777777777777777346e-01,3.928371006591929726e-01
-1.385351023424047645e-01,3.620096681118892268e-01
0.000000000000000000e+00,3.523015256659762229e-01
1.385351023424047645e-01,3.620096681118892268e-01
2.777777777777777346e-01,3.928371006591929726e-01
4.159444120077593343e-01,4.502149873124046131e-01
5.439282932204211329e-01,5.439282932204210219e-01
-7.106765634702204570e-01,2.943718710500690117e-01
7.106765634702204570e-01,2.943718710500690117e-01
-7.692307692307691624e-01,0.000000000000000000e+00
7.692307692307691624e-01,0.000000000000000000e+00
-8.876610459172271650e-01,0.000000000000000000e+00
8.876610459172271650e-01,0.000000000000000000e+00
-7.106765634702204570e-01,-2.943718710500690117e-01
7.106765634702204570e-01,-2.943718710500690117e-01
-5.439282932204211329e-01,-5.439282932204210219e-01
-4.159444120077593343e-01,-4.502149873124046131e-01
-2.777777777777777346e-01,-3.928371006591929726e-01
-1.385351023424047645e-01,-3.620096681118892268e-01
0.000000000000000000e+00,-3.523015256659762229e-01
1.385351023424047645e-01,-3.620096681118892268e-01
2.777777777777777346e-01,-3.928371006591929726e-01
4.159444120077593343e-01,-4.502149873124046131e-01
5.439282932204211329e-01,-5.439282932204210219e-01
-2.943718710500690672e-01,-7.106765634702204570e-01
-1.722898166469163661e-01,-5.882342286546756727e-01
0.000000000000000000e+00,-5.490513038526391165e-01
1.722898166469163661e-01,-5.882342286546756727e-01
2.943718710500690672e-01,-7.106765634702204570e-01
-6.017051084762093521e-02,-7.347489792844865697e-01
0.000000000000000000e+00,-7.118544529701529289e-01
6.017051084762093521e-02,-7.347489792844865697e-01
-0.000000000000000000e+00,-8.876610459172271650e-01
